2020-04-23 03:03:46 status half-installed gpg-agent:amd64 2.2.12-1+deb10u1
2020-04-23 03:03:46 status unpacked gpg-agent:amd64 2.2.12-1+deb10u1
2020-04-23 03:03:46 install gpg-wks-client:amd64 <none> 2.2.12-1+deb10u1
2020-04-23 03:03:46 status half-installed gpg-wks-client:amd64 2.2.12-1+deb10u1
2020-04-23 03:03:46 status unpacked gpg-wks-client:amd64 2.2.12-1+deb10u1
2020-04-23 03:03:46 install gpg-wks-server:amd64 <none> 2.2.12-1+deb10u1
2020-04-23 03:03:46 status half-installed gpg-wks-server:amd64 2.2.12-1+deb10u1
2020-04-23 03:03:46 status unpacked gpg-wks-server:amd64 2.2.12-1+deb10u1
2020-04-23 03:03:46 install gpgsm:amd64 <none> 2.2.12-1+deb10u1
2020-04-23 03:03:46 status half-installed gpgsm:amd64 2.2.12-1+deb10u1
2020-04-23 03:03:46 status unpacked gpgsm:amd64 2.2.12-1+deb10u1
2020-04-23 03:03:46 install gnupg:all <none> 2.2.12-1+deb10u1
2020-04-23 03:03:46 status half-installed gnupg:all 2.2.12-1+deb10u1
2020-04-23 03:03:46 status unpacked gnupg:all 2.2.12-1+deb10u1
2020-04-23 03:03:46 install libicu63:amd64 <none> 63.1-6+deb10u1
2020-04-23 03:03:46 status half-installed libicu63:amd64 63.1-6+deb10u1
2020-04-23 03:03:48 status unpacked libicu63:amd64 63.1-6+deb10u1
2020-04-23 03:03:48 install icu-devtools:amd64 <none> 63.1-6+deb10u1
2020-04-23 03:03:48 status half-installed icu-devtools:amd64 63.1-6+deb10u1
2020-04-23 03:03:48 status unpacked icu-devtools:amd64 63.1-6+deb10u1
2020-04-23 03:03:48 install libbrotli1:amd64 <none> 1.0.7-2
2020-04-23 03:03:48 status half-installed libbrotli1:amd64 1.0.7-2
2020-04-23 03:03:48 status unpacked libbrotli1:amd64 1.0.7-2
2020-04-23 03:03:48 install libbrotli-dev:amd64 <none> 1.0.7-2
